OmniClass_Code,OmniClass_Title,Description
14-14 17 00,Raised Spaces,Elevated or raised spaces within a larger structure.
14-14 17 11,Mezzanine,An intermediate floor or platform within a larger space.
14-14 17 14,Balcony,A raised platform or balcony overlooking a larger space.
14-14 17 17,Stage,A raised platform or stage for performances or events.
14-14 17 21,Platform,A raised platform or surface within a larger space.
14-14 21 00,Lowered and Sunken Spaces,Lowered or sunken spaces within a larger structure.
14-14 21 11,Pit,"A recessed or sunken area, often used for storage or equipment."
14-14 21 14,Pool,"A recessed or sunken area filled with water, such as a swimming pool."
14-17 00 00,Non-Enclosed Spaces,Spaces that are not fully enclosed or contained within a building.
14-17 11 00,Stations,Designated areas or stations for specific activities or functions.
14-17 11 11,Work Station,A designated work area or station within a larger space.
14-17 11 14,Cubicle,"A small, partitioned-off work area or cubicle within a larger space."
14-17 11 17,Counter,A counter or service area within a larger space.
14-17 14 00,Grouped Spaces,Grouped or clustered spaces within a larger area.
14-17 14 11,Seating Group,A group of seating or furniture arranged together.
14-17 14 14,Seating Row,A row or series of seating or furniture within a larger space.
14-17 14 17,Seating Section,A designated section or area for seating within a larger space.
14-17 14 21,Aisle,A passageway or walkway between seating or other areas.
14-17 17 00,Zones,Designated zones or areas within a larger space.
14-17 17 11,Air Distribution Zone,A designated area for air distribution or ventilation within a building.
14-17 17 14,Queuing Zone,A designated area for queuing or waiting within a larger space.
14-17 21 00,Areas,Designated areas or spaces within a larger structure.
14-17 21 11,Rink,A designated area or surface for ice skating or other activities.
14-17 21 14,Ring,A designated area or surface for boxing or other activities.
14-17 21 17,Mat,A designated area or surface for wrestling or other activities.
14-17 21 21,Court,A designated area or surface for sports or other activities.
14-21 00 00,Covered Spaces,Spaces that are covered or partially enclosed.
14-21 11 00,Attached Spaces,Spaces that are attached or connected to a larger structure.
14-21 11 11,Porch,"A covered, open-sided structure attached to the entrance of a building."
14-21 11 14,Porte Cochere,"A covered, open-sided structure for vehicles to pass through."
14-21 11 17,Arcade,"A covered, open-sided passage or walkway."
14-21 11 21,Cloisters,"A covered, open-sided passage or walkway with columns or arches."
14-21 11 24,Breezeway,"A covered, open-sided passage or walkway connecting different parts of a building."
14-21 14 00,Free-Standing Spaces,Free-standing or detached spaces that are not attached to a larger structure.
14-21 14 11,Gazebo,"A free-standing, covered structure used for outdoor gatherings or events."
14-21 14 14,Trellis,"A free-standing, open-sided structure used for supporting plants or vines."
14-24 00 00,Uncovered Spaces,Uncovered outdoor spaces that are not enclosed by walls or a roof.
14-24 11 00,Routes,Routes or paths for movement through a space.
14-24 11 11,Path,A paved or unpaved path for pedestrians.
14-24 11 16,Trail,A path through natural or landscaped areas.
14-24 11 14,Trail Head,The starting point of a trail or path.
14-24 11 17,Street,A public road or street for vehicles and pedestrians.
14-24 11 24,Alley,"A narrow passageway or lane, typically between buildings."
14-24 11 27,Sidewalk,A paved path for pedestrians alongside a street or road.
14-24 11 31,Walkway,A paved or unpaved path for pedestrians.
14-24 11 34,Boardwalk,"A raised wooden walkway, often over water or wetlands."
14-24 14 00,Outdoor Areas,Outdoor areas that are not enclosed by walls or a roof.
14-24 14 11,Terrace,An outdoor raised platform or paved area.
14-24 14 14,Patio,"An outdoor paved area, often adjacent to a building."
14-24 14 17,Courtyard,An outdoor area enclosed by walls or buildings.
14-24 14 21,Light Well,A recessed outdoor area that allows natural light to enter a building.
14-24 14 27,Farm Field,An open field used for agricultural purposes.
14-24 14 31,Planting Bed,"A landscaped area for planting flowers, shrubs, or trees."
14-24 14 34,Yard,An outdoor area surrounding a building.
14-24 14 37,Roof Area,The outdoor area on the top of a building.
14-24 17 00,Intersections and Nodes,Intersections or nodes where multiple routes or paths meet.
14-24 17 11,Crossroad,The intersection of two or more streets or paths.
14-24 17 14,Intersection,The point where two or more routes or paths intersect.
14-24 17 17,Plaza,An outdoor area designed for public gathering and events.
14-27 00 00,Combined Spaces,Spaces that combine multiple functions or uses.
14-27 11 00,Integral Combined Spaces,A group of interconnected spaces that function as a unit.
14-27 11 11,Suite,The central core or hub of a building or complex.
14-27 11 14,Core,Grouped or connected spaces that function together.
14-27 14 00,Grouped Combined Spaces,A distinct section or wing of a building or complex.
14-27 14 11,Wing,A distinct section or bay within a larger space.
14-27 14 14,Bay,Spaces and designations to facilitate design and construction.
14-31 00 00,Space Designations to Facilitate Design and Construction,Modular units used for planning and design.
14-31 11 00,Modules,A unit of measurement used for planning and layout.
14-31 11 11,Planning Module,A unit of measurement used for structural design.
14-31 11 14,Structural Module,A unit of measurement based on proportional relationships.
14-31 11 17,Proportional Module,"Spaces required for operation, access, and maintenance."
14-31 14 00,Clear Spaces,Space required for the intended use of a space.
14-31 14 11,Operational Clear Space,Space required for accessibility and mobility.
14-31 14 14,Accessible Clear Space,Space required for building systems and services.
14-31 14 17,Service Space,Spaces that allow for variations in design and construction.
14-31 17 00,Tolerance Spaces,Space allowed for variations in planning and layout.
14-31 17 11,Planning Tolerance Space,Space allowed for variations in construction and installation.
14-31 17 14,Construction Tolerance Space,Spaces defined by the natural topography of a site.
14-34 00 00,Topographical Spaces,Sloped or inclined topographical spaces.
14-34 11 00,Sloped Topographical Spaces,A low area between hills or mountains.
14-34 11 11,Valley,A natural or artificial waterway or depression.
14-34 11 14,Channel,"A flat, elevated area of land."
14-34 11 17,Plateau,"A small, rounded hill or mound."
14-34 11 21,Knoll,"A long, high area of land."
14-34 11 24,Ridge,The highest point of a hill or mountain.
14-34 11 31,Berm,A raised mound of earth used for landscaping or erosion control.
14-34 11 34,Swale,"A shallow, linear depression in the ground used for drainage."
14-34 14 00,Flat Topographical Spaces,"Flat, level areas of land."
14-34 14 11,Plain,"A large, flat area of land with few distinguishing features."
14-34 14 14,Meadow,"An open, grassy area of land."
14-34 14 17,Basin,A low-lying area that collects water.
14-34 17 00,Land and Water Topographical Transitions,Transitions between land and water features.
14-34 17 11,Peninsula,A piece of land that extends into a body of water.
14-34 17 14,Point,"A small, narrow piece of land that juts out into a body of water."
14-34 17 17,Inlet,A narrow opening in the shoreline where water enters a body of land.
14-34 17 21,Bay,A recessed area of water along a coastline.
14-34 17 24,Shoreline,The line where land and water meet.
14-34 17 27,Island,A piece of land that is completely surrounded by water.
14-34 17 31,Lagoon,A body of water that is partially or completely enclosed by land.
14-34 21 00,Topographical Water Spaces,Spaces defined by bodies of water.
14-34 21 11,Ocean,The world's largest body of salt water.
14-34 21 14,Pond,"A small, still body of water."
14-34 21 17,Lake,"A large, natural body of water."
14-34 21 21,Reservoir,A man-made body of water used for storage or recreation.
14-34 21 24,Creek,"A small, narrow stream of water."
14-34 21 27,River,"A large, natural stream of water."
14-37 00 00,Legal and Geopolitical Space Designations,Legally defined spaces and boundaries.
14-37 11 00,Property Limits,Defined areas of land ownership or control.
14-37 11 11,Parcel,"A specific, legally defined piece of land."
14-37 11 14,Site,"A specific, legally defined area of land."
14-37 11 17,Tract,"A legally defined area of land, larger than a parcel."
14-37 14 00,Rights of Way,Legally defined rights of access or use.
14-37 14 11,Right-of-way Space,A legally defined space for public or private use.
14-37 14 14,Easement,A legally defined right to use a specific area of land.
14-37 14 17,Air Rights Space,A legally defined space above a specific area of land.
14-37 14 21,Mineral Rights Space,A legally defined space below the surface of a specific area of land.
14-37 17 00,Blocks,Legally defined city blocks and neighborhoods.
14-37 17 11,City Block,"A city block, a basic unit of urban development."
14-37 17 14,Cul-de-sac,A dead-end street or road.
14-37 17 17,Planned Unit Development,"A planned, integrated development with mixed uses."
14-37 21 00,Sub-City Limits,Legally defined areas within a city or town.
14-37 21 11,District,A legally defined area within a city or town.
14-37 21 14,Neighborhood,A legally defined residential or commercial area within a city or town.
14-37 21 17,Campus,A legally defined area of land occupied by an institution or organization.
14-37 21 21,Compound,A legally defined area of land occupied by a group of buildings.
14-37 21 24,Base,A legally defined area of land occupied by a military or government facility.
14-37 24 00,Municipal Limits,Legally defined municipal boundaries.
14-37 24 11,Town,"A legally defined incorporated area, smaller than a city."
14-37 24 14,City,"A legally defined incorporated area, larger than a town."
14-37 27 00,Extra-Municipal Limits,Legally defined areas beyond municipal boundaries.
14-37 27 11,County,A legally defined area of land larger than a city or town.
14-37 27 14,Region,A legally defined area of land larger than a county.
14-37 27 17,State,A legally defined area of land larger than a region.
14-37 27 21,Province,A legally defined area of land larger than a state.
14-37 27 24,Nation,The legally defined territory of a sovereign nation.
21-01 10 00,Foundations,Foundations are the structural elements that support a building and transfer its weight to the ground.
21-01 10 10,Standard Foundations,"Standard foundations are the most common type, including wall and column foundations."
21-01 10 10-1,Wall Foundations,Wall foundations are the foundation walls that support the exterior walls of a building.
21-01 10 10-2,Column Foundations,Column foundations are the individual footings that support the building's columns.
21-01 10 10-3,Standard Foundation Supplementary Components,Standard foundation supplementary components include items like reinforcement and joint materials.
21-01 10 20,Special Foundations,"Special foundations are used for challenging soil conditions, including piles, caissons, and anchors."
21-01 10 20-1,Driven Piles,"Driven piles are long, slender posts driven into the ground to support a building."
21-01 10 20-2,Bored Piles,Bored piles are cylindrical concrete piers drilled into the ground to support a building.
21-01 10 20-3,Caissons,"Caissons are large, watertight chambers sunk into the ground to support a building."
21-01 10 20-4,Special Foundation Walls,Special foundation walls are used for retaining walls and other specialized applications.
21-01 10 20-5,Foundation Anchors,Foundation anchors are used to secure a building's foundation to the ground.
21-01 10 20-6,Underpinning,Underpinning is the process of strengthening or extending an existing foundation.
21-01 10 20-7,Raft Foundations,"Raft foundations are large, continuous slabs that distribute a building's weight evenly."
21-01 10 20-8,Pile Caps,Pile caps are the concrete elements that connect piles to the building's superstructure.
21-01 10 20-9,Grade Beams,Grade beams are reinforced concrete beams that span between foundation elements.
21-01 20 00,Subgrade Enclosures,Subgrade enclosures are the walls and other elements that enclose the space below a building.
21-01 20 10,Walls for Subgrade Enclosures,Subgrade enclosure wall construction includes the materials and methods used to build these walls.
21-01 20 10-1,Subgrade Enclosure Wall Construction,Subgrade enclosure wall interior skin is the finished surface on the inside of the walls.
21-01 20 10-2,Subgrade Enclosure Wall Interior Skin,Subgrade enclosure wall supplementary components include items like reinforcement and insulation.
21-01 20 10-3,Subgrade Enclosure Wall Supplementary Components,Slabs-on-grade are the concrete floors that are directly supported by the ground.
21-01 40 00,Slabs-On-Grade,Standard slabs-on-grade are the most common type of slab-on-grade construction.
21-01 40 10,Standard Slabs-on-Grade,"Structural slabs-on-grade are designed to support additional loads, such as heavy equipment."
21-01 40 20,Structural Slabs-on-Grade,"Slab trenches are recessed areas within a slab-on-grade, often used for utilities."
21-01 40 30,Slab Trenches,"Pits and bases are specialized slab-on-grade elements, such as equipment pads."
21-01 40 40,Pits and Bases,"Slab-on-grade supplementary components include items like insulation, vapor retarders, and waterproofing."
21-01 40 90,Slab-On-Grade Supplementary Components,Perimeter insulation is used around the edges of a slab-on-grade to reduce heat loss.
21-01 40 90-1,Perimeter Insulation,Vapor retarders are materials that prevent moisture from passing through a slab-on-grade.
21-01 40 90-2,Vapor Retarder,Waterproofing is used to protect a slab-on-grade from water infiltration.
21-01 40 90-3,Waterproofing,Mud slabs are thin concrete layers placed beneath a slab-on-grade to provide a stable base.
21-01 40 90-4,Mud Slab,Subbase layers are compacted granular materials placed beneath a slab-on-grade.
21-01 40 90-5,Subbase Layer,Water and gas mitigation systems are used to manage groundwater and off-gassing issues.
21-01 60 00,Water and Gas Mitigation,Building subdrainage systems include foundation drainage and underslab drainage.
21-01 60 10,Building Subdrainage,Foundation drainage systems collect and remove water from around a building's foundation.
21-01 60 10-1,Foundation Drainage,Underslab drainage systems collect and remove water from beneath a building's slab.
21-01 60 10-2,Underslab Drainage,Off-gassing mitigation systems are used to address issues like radon and methane gas.
21-01 60 20,Off-Gassing Mitigation,Radon mitigation systems are used to reduce the levels of radon gas in a building.
21-01 60 20-1,Radon Mitigation,Methane mitigation systems are used to reduce the levels of methane gas in a building.
21-01 60 20-2,Methane Mitigation,"Substructure related activities include excavation, dewatering, and soil treatment."
21-01 90 00,Substructure Related Activities,Substructure excavation includes the removal of soil and other materials for a building's foundation.
21-01 90 10,Substructure Excavation,Backfill and compaction are the processes of refilling and compacting the soil around a foundation.
21-01 90 10-1,Backfill and Compaction,Construction dewatering is the process of removing groundwater from a construction site.
21-01 90 20,Construction Dewatering,"Excavation support systems are used to stabilize the sides of an excavation, such as with tiebacks or cofferdams."
21-01 90 30,Excavation Support,Soil treatment is the process of improving the properties of the soil to support a building's foundation.
21-02 10 00,Superstructure,"The structural framework that supports a building, including floors, roofs, and stairs."
21-02 10 10,Floor Construction,"The structural components that make up the floors of a building, including framing, decks, and slabs."
21-02 10 10-1,Floor Structural Frame,"The structural frame that supports the floor of a building, such as beams, joists, and columns."
21-02 10 10-2,"Floor Decks, Slabs, and Toppings","The decks, slabs, and toppings that form the surface of a building's floors."
21-02 10 10-3,Balcony Floor Construction,The structural components that make up the floors of building balconies.
21-02 10 10-4,Mezzanine Floor Construction,The structural components that make up the floors of building mezzanines.
21-02 10 10-5,Ramps,The ramps that provide access to different floor levels within a building.
21-02 10 10-6,Floor Construction Supplementary Components,Supplementary components that support the construction of a building's floors.
21-02 10 20,Roof Construction,"The structural components that make up the roof of a building, including the frame and decking."
21-02 10 20-1,Roof Structural Frame,"The structural frame that supports the roof of a building, such as trusses, beams, and purlins."
21-02 10 20-2,"Roof Decks, Slabs, and Sheathing","The decks, slabs, and sheathing that form the surface of a building's roof."
21-02 10 20-3,Canopy Construction,The structural components that make up the canopies or overhangs of a building's roof.
21-02 10 20-4,Roof Construction Supplementary Components,Supplementary components that support the construction of a building's roof.
21-02 10 80,Stairs,"The structural components that make up the stairs within a building, including the treads and risers."
21-02 10 80-1,Stair Construction,The structural components that support the underside of a building's stairs.
21-02 10 80-2,Stair Soffits,The railings and handrails that provide safety and support for a building's stairs.
21-02 10 80-3,Stair Railings,The external stairs or fire escapes that provide emergency egress from a building.
21-02 10 80-4,Fire Escapes,The metal walkways or catwalks that provide access to different parts of a building.
21-02 10 80-5,Metal Walkways,The ladders that provide access to specific areas within a building.
21-02 10 80-6,Ladders,The exterior walls that enclose a building and provide protection from the elements.
21-02 20 00,Exterior Vertical Enclosures,The exterior cladding or veneer that covers the exterior walls of a building.
21-02 20 10,Exterior Walls,The structural components that make up the exterior walls of a building.
21-02 20 10-1,Exterior Wall Veneer,The interior skin or lining that covers the interior side of a building's exterior walls.
21-02 20 10-2,Exterior Wall Construction,Prefabricated exterior wall assemblies that are installed as a single unit.
21-02 20 10-3,Exterior Wall Interior Skin,"The walls or barriers that extend above the roof of a building, known as parapets."
21-02 20 10-4,Fabricated Exterior Wall Assemblies,The screens or enclosures that conceal mechanical equipment on the exterior of a building.
21-02 20 10-5,Parapets,Supplementary components that support the construction of a building's exterior walls.
21-02 20 10-6,Equipment Screens,"Supplementary components that support the openings in a building's exterior walls, such as windows and doors."
21-02 20 10-7,Exterior Wall Supplementary Components,The operable windows installed in the exterior walls of a building.
21-02 20 10-8,Exterior Wall Opening Supplementary Components,The fixed windows installed in the exterior walls of a building.
21-02 20 20,Exterior Windows,The continuous window systems that span the exterior walls of a building.
21-02 20 20-1,Exterior Operating Windows,"The specialized windows installed in the exterior walls of a building, such as skylights or bay windows."
21-02 20 20-2,Exterior Fixed Windows,"The doors installed in the exterior walls of a building, including entrance doors and utility doors."
21-02 20 20-3,Exterior Window Wall,The main entrance doors that provide access to a building from the exterior.
21-02 20 20-4,Exterior Special Function Windows,The utility doors that provide access to service areas or mechanical rooms.
21-02 20 50,Exterior Doors and Grilles,The oversized doors that accommodate large equipment or vehicles.
21-02 20 50-1,Exterior Entrance Doors,"The specialized doors installed in the exterior walls of a building, such as revolving doors or fire doors."
21-02 20 50-2,Exterior Utility Doors,The grilles or screens installed in the exterior walls of a building.
21-02 20 50-3,Exterior Oversize Doors,The gates or barriers installed in the exterior walls of a building.
21-02 20 50-4,Exterior Special Function Doors,Supplementary components that support the installation of exterior doors.
21-02 20 50-5,Exterior Grilles,The louvers or vents installed in the exterior walls of a building to allow airflow.
21-02 20 50-6,Exterior Gates,The louvers installed in the exterior walls of a building to control airflow.
21-02 20 50-7,Exterior Door Supplementary Components,The vents installed in the exterior walls of a building to allow air or moisture to escape.
21-02 20 70,Exterior Louvers and Vents,"The appurtenances or attachments installed on the exterior walls of a building, such as grilles or screens."
21-02 20 70-1,Exterior Louvers,The fixed grilles or screens installed on the exterior walls of a building.
21-02 20 70-2,Exterior Vents,"The devices installed on the exterior walls of a building to protect openings, such as shutters or awnings."
21-02 20 80,Exterior Wall Appurtenances,"The walls and railings installed on the exterior of a building, such as balcony walls."
21-02 20 80-4,Exterior Fabrications,"Exterior fabrications such as canopies, sunshades, and other architectural elements."
21-02 20 80-5,Bird Control Devices,Devices used to control or deter birds from landing on or nesting in exterior building elements.
21-02 20 90,Exterior Wall Specialties,"Specialty exterior wall components like expansion joints, louvers, and grilles."
21-02 30 00,Exterior Horizontal Enclosures,"Exterior horizontal enclosures like roofs, decks, and walkways."
21-02 30 10,Roofing,"Roof systems, including steep slope, low-slope, and canopy roofing."
21-02 30 10-1,Steep Slope Roofing,Roofing systems designed for steep-sloped roof applications.
21-02 30 10-2,Low-Slope Roofing,Roofing systems designed for low-slope or flat roof applications.
21-02 30 10-3,Canopy Roofing,Roofing systems designed for canopy or overhang applications.
21-02 30 10-4,Roofing Supplementary Components,Components that supplement or support the primary roofing system.
21-02 30 20,Roof Appurtenances,Accessories and specialty items installed on the roof surface.
21-02 30 20-1,Roof Accessories,"Roof accessories like hatches, vents, and snow guards."
21-02 30 20-2,Roof Specialties,Decorative or functional roof-mounted elements like gutters and downspouts.
21-02 30 20-3,Rainwater Management,Systems for managing rainwater runoff from the roof.
21-02 30 40,Traffic Bearing Horizontal Enclosures,"Coatings, membranes, and wear surfaces for traffic-bearing horizontal enclosures."
21-02 30 40-1,Traffic Bearing Coatings,Coatings applied to horizontal surfaces for protection and wear resistance.
21-02 30 40-2,Horizontal Waterproofing Membrane,Waterproofing membranes installed on horizontal surfaces.
21-02 30 40-3,Wear Surfaces,Durable wear surfaces for horizontal enclosures like decks and walkways.
21-02 30 40-4,Horizontal Enclosure Supplementary Components,Components that supplement or support traffic-bearing horizontal enclosures.
21-02 30 60,Horizontal Openings,"Openings in the horizontal enclosure, such as skylights and hatches."
21-02 30 60-1,Roof Windows and Skylights,Windows and skylights installed in the roof or overhead structure.
21-02 30 60-2,Vents and Hatches,"Vents, hatches, and other openings in the horizontal enclosure."
21-02 30 60-3,Horizontal Opening Supplementary Components,Components that supplement or support horizontal openings.
21-02 30 80,Overhead Exterior Enclosures,"Overhead exterior enclosures like ceilings, soffits, and bulkheads."
21-02 30 80-1,Exterior Ceilings,Exterior ceiling systems installed below the roof structure.
21-02 30 80-2,Exterior Soffits,Exterior soffit systems installed below the roof overhang.
21-02 30 80-3,Exterior Bulkheads,Exterior bulkhead systems installed at the perimeter of the building.
21-03 00 00,Interiors,"Interior construction elements like partitions, windows, and doors."
21-03 10 00,Interior Construction,"Fixed, non-movable interior partition systems."
21-03 10 10,Interior Partitions,Interior partition systems with glazed panels or windows.
21-03 10 10-1,Interior Fixed Partitions,Demountable or relocatable interior partition systems.
21-03 10 10-2,Interior Glazed Partitions,Operable or movable interior partition systems.
21-03 10 10-3,Interior Demountable Partitions,"Interior screens or dividers, not intended as full partitions."
21-03 10 10-4,Interior Operable Partitions,Components that supplement or support interior partition systems.
21-03 10 10-5,Interior Screens,Interior window systems that can be opened or operated.
21-03 10 10-6,Interior Partition Supplementary Components,Interior window systems that are fixed and non-operable.
21-03 10 20,Interior Windows,Interior windows with specialized functions like fire-rated or bullet-resistant.
21-03 10 20-1,Interior Operating Windows,Components that supplement or support interior window systems.
21-03 10 20-2,Interior Fixed Windows,Interior door systems that swing open and closed.
21-03 10 20-3,Interior Special Function Windows,"Interior entrance door systems, often with specialized features."
21-03 10 20-4,Interior Window Supplementary Components,Interior door systems that slide horizontally to open and close.
21-03 10 30,Interior Doors,Interior door systems that fold or accordion to open and close.
21-03 10 30-1,Interior Swinging Doors,Interior door systems that coil or roll up to open and close.
21-03 10 30-2,Interior Entrance Doors,Interior door systems with panels or other specialized designs.
21-03 10 30-3,Interior Sliding Doors,Interior door systems with specialized functions like fire-rated or security.
21-03 10 30-4,Interior Folding Doors,"Removable interior access panels or doors, often for maintenance."
21-03 10 30-5,Interior Coiling Doors,Components that supplement or support interior door systems.
21-03 10 40,Interior Grilles and Gates,"Interior grilles and gates used for ventilation, security, or decoration."
21-03 10 40-1,Interior Grilles,Grilles installed inside a building for ventilation or decoration.
21-03 10 40-2,Interior Gates,Gates installed inside a building for security or access control.
21-03 10 60,Raised Floor Construction,Raised floor construction that allows access to utilities and services below.
21-03 10 60-1,Access Flooring,Modular flooring system that provides access to the space below.
21-03 10 60-2,Platform/Stage Floors,"Elevated floors used for stages, platforms, or other specialized applications."
21-03 10 70,Suspended Ceiling Construction,Suspended ceiling systems that provide access to the space above.
21-03 10 70-1,Acoustical Suspended Ceilings,Acoustical suspended ceilings that absorb sound and provide a finished ceiling.
21-03 10 70-2,Suspended Plaster and Gypsum Board Ceilings,"Suspended ceilings made of plaster, gypsum board, or other materials."
21-03 10 70-3,Specialty Suspended Ceilings,Specialty suspended ceilings for unique applications or designs.
21-03 10 70-4,Special Function Suspended Ceilings,Suspended ceilings with specialized functions like lighting or air distribution.
21-03 10 70-5,Ceiling Suspension Components,Components used to install and support suspended ceiling systems.
21-03 10 90,Interior Specialties,"Specialty interior items like railings, louvers, and information displays."
21-03 10 90-1,Interior Railings and Handrails,Railings and handrails installed inside a building for safety and accessibility.
21-03 10 90-2,Interior Louvers,Louvers installed inside a building for ventilation or aesthetic purposes.
21-03 10 90-3,Information Specialties,"Specialty items like signage, directories, and display cases."
21-03 10 90-4,Compartments and Cubicles,"Partitions, cubicles, and other interior dividers for privacy or organization."
21-03 10 90-5,Service Walls,Integrated wall systems that conceal utilities and provide access.
21-03 10 90-6,Wall and Door Protection,Wall and door protection to prevent damage in high-traffic areas.
21-03 10 90-7,"Toilet, Bath, and Laundry Accessories","Accessories for bathrooms, laundry rooms, and other interior spaces."
21-03 10 90-8,Interior Gas Lighting,Gas-powered lighting fixtures installed inside a building.
21-03 10 90-9,Fireplaces and Stoves,"Fireplaces, stoves, and other interior heating appliances."
21-03 10 90-10,Safety Specialties,"Specialty items for safety, such as emergency equipment or warning signs."
21-03 10 90-11,Storage Specialties,"Specialty storage solutions like lockers, shelving, or display cases."
21-03 10 90-12,Other Interior Specialties,Other miscellaneous interior specialty items not covered elsewhere.
21-03 20 00,Interior Finishes,"Finishes applied to the interior walls, floors, and ceilings of a building."
21-03 20 10,Wall Finishes,Finishes applied to the interior walls of a building.
21-03 20 10-1,Tile Wall Finish,"Tile used as a wall finish, such as ceramic, stone, or glass tile."
21-03 20 10-2,Wall Paneling,"Paneled wall finishes made of wood, metal, or other materials."
21-03 20 10-3,Wall Coverings,"Wallpapers, fabrics, or other materials used as a wall covering."
21-03 20 10-4,Wall Carpeting,Carpeting installed directly on interior walls.
21-03 20 10-5,Stone Facing,"Stone, such as marble or granite, used as a wall facing."
21-03 20 10-6,Special Wall Surfacing,Specialized wall finishes like textured coatings or decorative panels.
21-03 20 10-7,Wall Painting and Coating,"Paint, stain, or other coatings applied to interior walls."
21-03 20 10-8,Acoustical Wall Treatment,Acoustical treatments applied to walls to improve sound absorption.
21-03 20 10-9,Wall Finish Supplementary Components,Supplementary components used to install or finish interior wall surfaces.
21-03 20 20,Interior Fabrications,"Fabricated interior elements like millwork, casework, or built-in furniture."
21-03 20 30,Flooring,Finishes applied to the floors of a building.
21-03 20 30-1,Flooring Treatment,"Treatments applied to flooring, such as sealers or polishes."
21-03 20 30-2,Tile Flooring,"Tile used as a floor finish, such as ceramic, stone, or porcelain tile."
21-03 20 30-3,Specialty Flooring,"Specialty flooring for unique applications, like raised access floors."
21-03 20 30-4,Masonry Flooring,"Masonry flooring materials like brick, stone, or concrete."
21-03 20 30-5,Wood Flooring,"Wood flooring, including solid, engineered, or laminate options."
21-03 20 30-6,Resilient Flooring,"Resilient flooring materials like vinyl, linoleum, or rubber."
21-03 20 30-7,Terrazzo Flooring,"Terrazzo, a composite flooring material made of marble chips and cement."
21-03 20 30-8,Fluid-Applied Flooring,"Fluid-applied flooring systems, such as epoxy or polyurethane coatings."
21-03 20 30-9,Carpeting,Carpeting installed as a floor finish.
21-03 20 30-10,Athletic Flooring,Flooring designed for athletic or recreational use.
21-03 20 30-11,Entrance Flooring,Flooring systems designed for building entrances and high-traffic areas.
21-03 20 30-12,Flooring Supplementary Components,Supplementary components used to install or finish interior flooring.
21-03 20 40,Stair Finishes,"Finishes applied to stairs, including tile, masonry, wood, resilient, terrazzo, and carpeted options."
21-03 20 40-1,Tile Stair Finish,Tile finish applied to stairs.
21-03 20 40-2,Masonry Stair Finish,Masonry finish applied to stairs.
21-03 20 40-3,Wood Stair Finish,Wood finish applied to stairs.
21-03 20 40-4,Resilient Stair Finish,Resilient finish applied to stairs.
21-03 20 40-5,Terrazzo Stair Finish,Terrazzo finish applied to stairs.
21-03 20 40-6,Carpeted Stair Finish,Carpeted finish applied to stairs.
21-03 20 50,Ceiling Finishes,"Finishes applied to ceilings, including plaster, gypsum board, paneling, painting, acoustical treatments, and supplementary components."
21-03 20 50-1,Plaster and Gypsum Board Finish,Plaster or gypsum board finish applied to ceilings.
21-03 20 50-2,Ceiling Paneling,Paneled finish applied to ceilings.
21-03 20 50-3,Ceiling Painting and Coating,Painted or coated finish applied to ceilings.
21-03 20 50-4,Acoustical Ceiling Treatment,Acoustical treatment applied to ceilings.
21-03 20 50-5,Ceiling Finish Supplementary Components,Supplementary components for ceiling finishes.
21-04 00 00,Services,"Building systems and equipment that provide services, including conveying, plumbing, HVAC, fire protection, and electrical."
21-04 10 00,Conveying,"Systems for vertical transportation, including elevators, lifts, escalators, dumbwaiters, and moving ramps."
21-04 10 10,Vertical Conveying Systems,Elevators for vertical transportation.
21-04 10 10-1,Elevators,Lifts for vertical transportation.
21-04 10 10-2,Lifts,Escalators for vertical transportation.
21-04 10 10-3,Escalators,Dumbwaiters for vertical transportation.
21-04 10 10-4,Dumbwaiters,Moving ramps for vertical transportation.
21-04 10 10-5,Moving Ramps,"Systems for horizontal transportation, including moving walks, turntables, passenger loading bridges, and people movers."
21-04 10 30,Horizontal Conveying,Moving walks for horizontal transportation.
21-04 10 30-1,Moving Walks,Turntables for horizontal transportation.
21-04 10 30-2,Turntables,Passenger loading bridges for horizontal transportation.
21-04 10 30-3,Passenger Loading Bridges,People movers for horizontal transportation.
21-04 10 30-4,People Movers,"Equipment for material handling, including cranes, hoists, derricks, conveyors, baggage handling, chutes, and pneumatic tube systems."
21-04 10 50,Material Handling,Cranes for material handling.
21-04 10 50-1,Cranes,Hoists for material handling.
21-04 10 50-2,Hoists,Derricks for material handling.
21-04 10 50-3,Derricks,Conveyors for material handling.
21-04 10 50-4,Conveyors,Baggage handling equipment.
21-04 10 50-5,Baggage Handling Equipment,Chutes for material handling.
21-04 10 50-6,Chutes,Pneumatic tube systems for material handling.
21-04 10 50-7,Pneumatic Tube Systems,"Operable access systems, including suspended scaffolding, rope climbers, elevating platforms, powered scaffolding, and building envelope access."
21-04 10 80,Operable Access Systems,Suspended scaffolding for operable access.
21-04 10 80-1,Suspended Scaffolding,Rope climbers for operable access.
21-04 10 80-2,Rope Climbers,Elevating platforms for operable access.
21-04 10 80-3,Elevating Platforms,Powered scaffolding for operable access.
21-04 10 80-4,Powered Scaffolding,Building envelope access systems.
21-04 10 80-5,Building Envelope Access,"Plumbing systems, including domestic water distribution and sanitary drainage."
21-04 20 00,Plumbing,"Systems for distributing potable water within a facility, including storage tanks, equipment, piping, fixtures, and supplementary components."
